Match ID,Home,Away,Team Scored,Player,Time of Goal,Own Goal
101,Manchester United,Swansea,Swansea,Ki Sung-Yong,28,
101,Manchester United,Swansea,Manchester United,Rooney W.,53,
101,Manchester United,Swansea,Swansea,Sigurdsson G.,72,
102,West Ham,Tottenham,Tottenham,Dier E.,90+3,
103,West Brom,Sunderland,Sunderland,Cattermole L.,5,
103,West Brom,Sunderland,West Brom,Berahino S.,42,
103,West Brom,Sunderland,West Brom,Berahino S.,74,
103,West Brom,Sunderland,Sunderland,Larsson S.,85,
104,Stoke City,Aston Villa,Aston Villa,Weimann A.,50,
105,QPR,Hull City,Hull City,Chester J.,52,
106,Leicester,Everton,Everton,Mcgeady A. ,20,
106,Leicester,Everton,Leicester,Ulloa L.,22,
106,Leicester,Everton,Everton,Naismith S.,45,
106,Leicester,Everton,Leicester,Wood Ch.,86,
107,Arsenal,Crystal Palace,Crystal Palace,Hangeland B.,35,
107,Arsenal,Crystal Palace,Arsenal,Koscienly L.,45+1,
107,Arsenal,Crystal Palace,Arsenal,Ramsey A.,90+1,
108,Liverpool,Southampton,Liverpool,Strerling R.,23,
108,Liverpool,Southampton,Southampton,Clyne N.,56,
108,Liverpool,Southampton,Liverpool,Sturridge D.,79,
109,Newcastle Utd,Manchester City,Manchester City,Silva D.,39,
109,Newcastle Utd,Manchester City,Manchester City,Aguero S.,90+2,
110,Burnley,Chelsea,Burnley,Arfield S.,14,
110,Burnley,Chelsea,Chelsea,Costa D.,17,
110,Burnley,Chelsea,Chelsea,Schurrle A.,21,
110,Burnley,Chelsea,Chelsea,Ivanovic B.,34,
202,Swansea,Burnley,Swansea,Dyer N.,23,
204,Crystal Palace,West Ham,West Ham,Zarate M.,34,
204,Crystal Palace,West Ham,West Ham,Downing S.,37,
204,Crystal Palace,West Ham,Crystal Palace,Chamakh M.,48,
204,Crystal Palace,West Ham,West Ham,Cole C.,62,
205,Chelsea,Leicester,Chelsea,Costa D.,62,
205,Chelsea,Leicester,Chelsea,Hazard E.,77,
206,Everton,Arsenal,Everton,Coleman S.,19,
206,Everton,Arsenal,Everton,Naismith S.,45,
206,Everton,Arsenal,Arsenal,Ramsey A.,83,
206,Everton,Arsenal,Arsenal,Giroud O.,90,
207,Tottenham,QPR,Tottenham,Chadli N.,12,
207,Tottenham,QPR,Tottenham,Dier E.,30,
207,Tottenham,QPR,Tottenham,Chadli N.,37,
207,Tottenham,QPR,Tottenham,Adebayor E.,65,
208,Hull City,Stoke City,Hull City,Jelavic N.,42,
208,Hull City,Stoke City,Stoke City,Shawcross R.,83,
209,Sunderland,Manchester United,Manchester United,Mata J.,17,
209,Sunderland,Manchester United,Sunderland,Rodwell J.,30,
210,Manchester City,Liverpool,Manchester City,Jovetic S.,41,
210,Manchester City,Liverpool,Manchester City,Jovetic S.,55,
210,Manchester City,Liverpool,Manchester City,Aguero S.,69,
