"Match.ID","Home","Away","Team.Scored","Player","Time.of.Goal","Own.Goal"
101,"Manchester United","Manchester United","Swansea","Ki Sung-Yong","28",""
101,"Manchester United","Manchester United","Manchester United","Rooney W.","53",""
101,"Manchester United","Manchester United","Swansea","Sigurdsson G.","72",""
102,"West Ham","West Ham","Tottenham","Dier E.","90+3",""
103,"West Brom","West Brom","Sunderland","Cattermole L.","5",""
103,"West Brom","West Brom","West Brom","Berahino S.","42",""
103,"West Brom","West Brom","West Brom","Berahino S.","74",""
103,"West Brom","West Brom","Sunderland","Larsson S.","85",""
104,"Stoke City","Stoke City","Aston Villa","Weimann A.","50",""
105,"QPR","QPR","Hull City","Chester J.","52",""
106,"Leicester","Leicester","Everton","Mcgeady A. ","20",""
106,"Leicester","Leicester","Leicester","Ulloa L.","22",""
106,"Leicester","Leicester","Everton","Naismith S.","45",""
106,"Leicester","Leicester","Leicester","Wood Ch.","86",""
107,"Arsenal","Arsenal","Crystal Palace","Hangeland B.","35",""
107,"Arsenal","Arsenal","Arsenal","Koscielny L.","45+1",""
107,"Arsenal","Arsenal","Arsenal","Ramsey A.","90+1",""
108,"Liverpool","Liverpool","Liverpool","Sterling R.","23",""
108,"Liverpool","Liverpool","Southampton","Clyne N.","56",""
108,"Liverpool","Liverpool","Liverpool","Sturridge D.","79",""
109,"Newcastle Utd","Newcastle Utd","Manchester City","Silva D.","39",""
109,"Newcastle Utd","Newcastle Utd","Manchester City","Aguero S.","90+2",""
110,"Burnley","Burnley","Burnley","Arfield S.","14",""
110,"Burnley","Burnley","Chelsea","Costa D.","17",""
110,"Burnley","Burnley","Chelsea","Schurrle A.","21",""
110,"Burnley","Burnley","Chelsea","Ivanovic B.","34",""
202,"Swansea","Swansea","Swansea","Dyer N.","23",""
204,"Crystal Palace","Crystal Palace","West Ham","Zarate M.","34",""
204,"Crystal Palace","Crystal Palace","West Ham","Downing S.","37",""
204,"Crystal Palace","Crystal Palace","Crystal Palace","Chamakh M.","48",""
204,"Crystal Palace","Crystal Palace","West Ham","Cole C.","62",""
